================ CalculatePixGain PixGain 54 :  : -9.117647e+01 =  0.000000e+00 C2B65A5A 00000000 11000010101101100101101001011010 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 55 :  : -9.320261e+01 =  0.000000e+00 C2BA67BD 00000000 11000010101110100110011110111101 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 56 :  : -8.003268e+01 =  0.000000e+00 C2A010BB 00000000 11000010101000000001000010111011 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 57 :  : -9.522876e+01 =  0.000000e+00 C2BE7520 00000000 11000010101111100111010100100000 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 58 :  : -8.813725e+01 =  0.000000e+00 C2B04646 00000000 11000010101100000100011001000110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 59 :  : -9.421568e+01 =  0.000000e+00 C2BC6E6E 00000000 11000010101111000110111001101110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 60 :  : -8.104575e+01 =  0.000000e+00 C2A2176D 00000000 11000010101000100001011101101101 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 61 :  : -9.320261e+01 =  0.000000e+00 C2BA67BD 00000000 11000010101110100110011110111101 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 62 :  : -8.408497e+01 =  0.000000e+00 C2A82B81 00000000 11000010101010000010101110000001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 63 :  : -9.421568e+01 =  0.000000e+00 C2BC6E6E 00000000 11000010101111000110111001101110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 64 :  : -7.901961e+01 =  0.000000e+00 C29E0A0A 00000000 11000010100111100000101000001010 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 65 :  : -8.205882e+01 =  0.000000e+00 C2A41E1E 00000000 11000010101001000001111000011110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 66 :  : -7.699346e+01 =  0.000000e+00 C299FCA7 00000000 11000010100110011111110010100111 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 67 :  : -8.915033e+01 =  0.000000e+00 C2B24CF8 00000000 11000010101100100100110011111000 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 68 :  : -8.003268e+01 =  0.000000e+00 C2A010BB 00000000 11000010101000000001000010111011 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 69 :  : -8.307189e+01 =  0.000000e+00 C2A624CF 00000000 11000010101001100010010011001111 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 70 :  : -8.003268e+01 =  0.000000e+00 C2A010BB 00000000 11000010101000000001000010111011 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 71 :  : -9.218954e+01 =  0.000000e+00 C2B8610C 00000000 11000010101110000110000100001100 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 72 :  : -8.003268e+01 =  0.000000e+00 C2A010BB 00000000 11000010101000000001000010111011 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 73 :  : -8.712418e+01 =  0.000000e+00 C2AE3F95 00000000 11000010101011100011111110010101 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 74 :  : -7.800654e+01 =  0.000000e+00 C29C0359 00000000 11000010100111000000001101011001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 75 :  : -9.421568e+01 =  0.000000e+00 C2BC6E6E 00000000 11000010101111000110111001101110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 76 :  : -7.901961e+01 =  0.000000e+00 C29E0A0A 00000000 11000010100111100000101000001010 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 77 :  : -9.016340e+01 =  0.000000e+00 C2B453A9 00000000 11000010101101000101001110101001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 78 :  : -8.003268e+01 =  0.000000e+00 C2A010BB 00000000 11000010101000000001000010111011 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 79 :  : -9.421568e+01 =  0.000000e+00 C2BC6E6E 00000000 11000010101111000110111001101110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 80 :  : -7.598039e+01 =  0.000000e+00 C297F5F6 00000000 11000010100101111111010111110110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 81 :  : -9.117647e+01 =  0.000000e+00 C2B65A5A 00000000 11000010101101100101101001011010 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 82 :  : -8.003268e+01 =  0.000000e+00 C2A010BB 00000000 11000010101000000001000010111011 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 83 :  : -9.725490e+01 =  0.000000e+00 C2C28282 00000000 11000010110000101000001010000010 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 84 :  : -7.496732e+01 =  0.000000e+00 C295EF45 00000000 11000010100101011110111101000101 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 85 :  : -9.016340e+01 =  0.000000e+00 C2B453A9 00000000 11000010101101000101001110101001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 86 :  : -7.598039e+01 =  0.000000e+00 C297F5F6 00000000 11000010100101111111010111110110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 87 :  : -9.725490e+01 =  0.000000e+00 C2C28282 00000000 11000010110000101000001010000010 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 88 :  : -7.294118e+01 =  0.000000e+00 C291E1E2 00000000 11000010100100011110000111100010 00000000000000000000000000000000 ().
